Version,Version Code,Release Date,Notes,Link
version-c417654d3e2b4293,695,14/10/2025,,https://drive.google.com/file/d/1M3fdQW82jU6sOwZK9f-QV-C-kLR83RSF
version-fc96fd6538a948ac,695,14/10/2025,Emergency fix with 1 change for version-c417654d3e2b4293.,https://drive.google.com/file/d/1PxClksr7z2CdaN7c6-Mw37FophsOOsd5
version-382d495669d945ed,695,15/10/2025,Fix with 2 changes for version-fc96fd6538a948ac.,https://drive.google.com/file/d/1toGabP8N4F1_jc2W_PUsMjj2KrcHN_PA
version-30215da31a3b42e2,695,21/10/2025,,https://drive.google.com/file/d/1ro6vRoWT6Gx7QX_WRpQtldU13v8loK8G
version-1e4ca3bb98a04c5f,697,28/10/2025,,https://drive.google.com/file/d/1l-39Ghs1dtyCBthzO2-q6qQGk_kaK5pv
version-63bff05435e54bdb,698,4/11/2025,,https://drive.google.com/file/d/1DD61CZan3ASqxvK82ObEvZWjHY6GTNxK
version-4161ccb851314f72,698,5/11/2025,Fix with 5 changes for version-63bff05435e54bdb.,https://drive.google.com/file/d/1tZ2ga95ibmJQ-VDYQGrvDAuykga_IxuV
version-260f9e4fe1c74bfb,698,7/11/2025,Fix with 3 changes for version-4161ccb851314f72.,https://drive.google.com/file/d/1q7Fi4UmkRFNmPWKQxa8mXgzzhaH5CJbU
version-874602c66c70451a,699,11/11/2025,,https://drive.google.com/file/d/1jdYUu-ExLxUU05hnprGlDC4CMMZ16dF_
version-d638b440a9224bb2,700,18/11/2025,,https://drive.google.com/file/d/1RRJyRbiEp3CvZcxyxwsijgtYnTpr-EIy
version-523a50bddf034d9a,701,2/12/2025,,https://drive.google.com/file/d/1dD_dheWlmB8MBJEvKNFx80a-LTzpeMXb
version-2dbeac8293cd4f75,702,5/12/2025,Was re-released as version-4d26fb450bb44305 to fix the accidental publish of version-cda6028de0a7412d.,https://drive.google.com/file/d/15hnHbSeoTm0icx9lD4nZLNi7FsyW6TrS
version-cda6028de0a7412d,701,5/12/2025,This version was accidentally published.,https://drive.google.com/file/d/1dZfKV3mVNGTuKZIffAUNcqZtm6gYuLER
version-a4644da17cde470d,702,11/12/2025,8 changes since version-2dbeac8293cd4f75.,https://drive.google.com/file/d/1nnLpQcYv9NREkyX0UewT7kifXqfM3PMc
version-0d21c9629cc4423a,702,12/12/2025,5 changes since version-a4644da17cde470d.,https://drive.google.com/file/d/1Kbr7c0402F6NzX_1zePCm9eIz8favMYb
version-ad9953795da4488d,702,17/12/2025,5 changes since version-0d21c9629cc4423a.,https://drive.google.com/file/d/1va_o-Co8AIWebj-ZBC6VPeICJ0y8czr_
version-34c9847319974d28,702,17/12/2025,Fix with 1 change for version-ad9953795da4488d.,https://drive.google.com/file/d/1fmikv3YP0VP7ZKqIqnI0wMPxjtzQ2aQx
version-95b9adff85194a04,703,6/1/2026,,https://drive.google.com/file/d/1brkT6uXTVEcFtjn5bF3jHeD-Du6TrzOE
