Version,Version Code,Release Date,Notes,Link
version-5162b2fc3a2d478f,702,05/12/2025,Re-released as version-5aed1822f52c4b03., due to an accidental publish of an outdated Studio built.,https://drive.google.com/file/d/1mJErNXOaWSX3bOcgV_1OG5aPM-mjxfGt
version-eaebe135b3ec446b,702,11/12/2025,8 changes since version-5162b2fc3a2d478f.,https://drive.google.com/file/d/1TzVr1MzobUPt5bAPPSkClv_3xxBMCz1p
version-1139489f628046e9,702,12/12/2025,5 changes since version-eaebe135b3ec446b.,https://drive.google.com/file/d/1thBBvL8PBAxDH96IA7GTyl6k0PbWyWmP
version-30e7703682854cda,702,17/12/2025,5 changes since version-1139489f628046e9.,https://drive.google.com/file/d/1Q3lkTviazJzKXiZHiTtr_vASWVcQogid
version-5b077c09380f4fe6,702,17/12/2025,Fix with 1 change for version-30e7703682854cda.,https://drive.google.com/file/d/1AN-aS_8fWkt7Zw9qDgZ6TsvWdWEMxoeb
version-f8f53a67efca4c34,702,31/12/2025,Missing a Studio release. 3 changes since version-5b077c09380f4fe6.,https://drive.google.com/file/d/1Z7C80YDGh1G4nFyek7tTPW6AKf3Um9HP
version-89d89cb2d6b649be,703,06/01/2026,,https://drive.google.com/file/d/1cVdkJf5SZrSVuAzu2s7HUJjQDCGs4ro9
version-1588a9c58c674e38,704,13/1/2026,,https://archive.org/details/roblox-desktop-archive
version-0f5223fb6e7e4955,705,20/1/2026,,https://archive.org/details/roblox-desktop-archive
version-8b8c34790f814a73,705,22/1/2026,,https://archive.org/details/roblox-desktop-archive
version-3d5997cfe1934687,705,26/1/2026,Rereleased as version-760ae30bbad64165 and version-f8734e043e1e40a2.,https://archive.org/details/roblox-desktop-archive
version-729e198a5c5c4599,706,27/1/2026,,https://archive.org/details/roblox-desktop-archive
version-4464ba36ceea461e,706,28/1/2026,,https://archive.org/details/roblox-desktop-archive
version-db4634f0e27d4d36,706,30/1/2026,4 changes compared to version-4464ba36ceea461e.,https://archive.org/details/roblox-desktop-archive
version-1a00fc65f08f4717,707,3/2/2026,,https://archive.org/details/roblox-desktop-archive
version-10e1b73b69c54e99,707,3/2/2026,,https://archive.org/details/roblox-desktop-archive
version-d2b4f26bb88d44d6,707,3/2/2026,,https://archive.org/details/roblox-desktop-archive
version-3e7a57d7e53b4881,707,3/2/2026,,https://archive.org/details/roblox-desktop-archive
version-286a2c4035ea41d5,707,4/2/2026,,https://archive.org/details/roblox-desktop-archive
version-6eca4517ecbc4d2e,707,4/2/2026,,https://archive.org/details/roblox-desktop-archive
version-80c7b8e578f241ff,707,4/2/2026,,https://archive.org/details/roblox-desktop-archive
version-14c83b4585f74f4d,708,9/2/2026,,https://archive.org/details/roblox-desktop-archive
version-bd08027bb04e4045,708,10/2/2026,,https://archive.org/details/roblox-desktop-archive
version-df7528517c6849f7,709,17/2/2026,,https://archive.org/details/roblox-desktop-archive
version-497d232246664187,710,24/2/2026,,https://archive.org/details/roblox-desktop-archive
version-d54fb60046ac4018,710,25/2/2026,,https://archive.org/details/roblox-desktop-archive
version-760d064d05424689,710,25/2/2026,,https://archive.org/details/roblox-desktop-archive
version-b4b85190815347e0,711,2/3/2026,,https://archive.org/details/roblox-desktop-archive
version-d599f7fc52a8404c,711,3/3/2026,,https://archive.org/details/roblox-desktop-archive
version-a3424bc01593490b,712,10/3/2026,,https://archive.org/details/roblox-desktop-archive
version-b130242ed064436f,712,11/3/2026,,https://archive.org/details/roblox-desktop-archive
version-ae421f0582e54718,713,18/3/2026,,https://archive.org/details/roblox-desktop-archive
version-6776addb8fbc4d17,714,26/3/2026,,https://archive.org/details/roblox-desktop-archive
version-689e359b09ad43b0,715,2/4/2026,,https://archive.org/details/roblox-desktop-archive
version-695a88dd8425491f,716,8/4/2026,,https://archive.org/details/roblox-desktop-archive
version-9d412f44a6fe4081,717,15/4/2026,,https://archive.org/details/roblox-desktop-archive
version-2e6461290a3541f5,718,22/4/2026,,https://archive.org/details/roblox-desktop-archive
version-390ba09e7e944154,718,26/4/2026,,https://archive.org/details/roblox-desktop-archive
version-acc4b74f79e743b9,719,29/4/2026,,https://archive.org/details/roblox-desktop-archive
version-bf6344c9c23446bf,720,6/5/2026,,https://archive.org/details/roblox-desktop-archive
